id,duration,src_bytes,class,count
1,0,491,0,2
2,0,146,0,13
3,0,0,1,123
4,0,232,0,5
5,0,199,0,30
6,0,0,1,121
7,0,0,1,166
8,0,0,1,117
9,0,0,1,270
10,0,0,1,133
11,0,0,1,205
12,0,0,1,199
13,0,287,0,3
14,0,334,1,2
15,0,0,1,233
16,0,0,1,96
17,0,300,0,8
18,0,18,1,1
19,0,233,0,3
20,0,343,0,9
21,0,0,1,223
22,0,0,1,280
23,0,253,0,8
24,5607,147,0,1
25,0,0,1,248
26,507,437,0,1
27,0,0,1,279
28,0,227,0,5
29,0,215,0,14
30,0,241,0,33
31,0,8,1,1
32,0,0,1,57
33,0,303,0,9
34,0,0,1,2
35,0,45,0,181
36,1,105,0,2
37,0,43,0,122
38,0,0,1,205
39,0,324,0,22
40,0,0,1,228
41,0,0,1,50
42,0,0,1,262
43,2,1591,0,1
44,9052,146,0,4
45,0,290,0,11
46,0,0,1,108
47,0,28,1,80
48,0,255,0,44
49,0,334,1,2
50,0,0,1,258
51,0,302,0,10
52,0,0,1,61
53,0,28,1,2
54,0,220,0,26
55,0,43,0,120
56,0,44,0,73
57,0,8,1,1
58,0,0,1,135
59,0,0,1,24
60,0,43,0,148
61,0,641,0,2
62,0,0,1,206
63,0,0,1,175
64,0,310,0,4
65,0,0,1,63
66,0,696,0,1
67,0,0,1,1
68,0,0,1,52
69,0,0,1,125
70,0,0,1,168
71,0,221,0,1
72,0,0,1,145
73,0,181,0,3
74,0,42,0,9
75,0,0,1,138
76,0,12,0,1
77,0,0,1,276
78,0,210,0,10
79,0,321,0,10
80,0,0,1,248
81,0,329,0,2
82,0,0,1,135
83,0,0,1,220
84,0,8,1,1
85,0,320,0,9
86,0,0,1,212
87,0,225,0,10
88,0,0,1,250
89,0,0,1,132
90,315,146,0,3
91,0,247,0,11
92,0,353,0,3
93,0,44,0,109
94,0,0,1,146
95,0,0,1,300
96,2,3065,0,1
97,0,102,0,1
98,0,259,0,4
99,1082,147,0,2
100,0,0,1,129
101,0,0,0,32
102,0,309,0,1
103,0,0,0,1
104,0,278,0,3
105,0,28,1,82
106,0,313,0,1
107,0,219,0,15
108,0,245,0,2
109,0,328,0,21
110,0,0,0,1
111,0,251,0,3
112,0,2089,0,2
113,0,0,0,1
114,0,237,0,1
115,0,324,0,4
116,25950,1,1,2
117,0,0,1,110
118,0,105,0,4
119,0,218,0,6
120,0,325,0,7
121,0,0,1,246
122,0,0,1,272
123,0,0,1,259
124,240,328,0,9
125,0,0,1,294
126,0,9,0,1
127,0,46,0,96
128,1,1079,0,1
129,0,45,0,79
130,26,273,0,1
131,0,0,1,190
132,0,0,1,135
133,0,237,0,2
134,0,225,0,1
135,0,0,1,123
136,0,0,1,245
137,0,147,0,3
138,0,262,0,3
139,0,1032,1,263
140,0,0,1,109
141,0,261,0,9
142,0,0,1,145
143,0,0,1,250
144,0,294,0,8
145,0,221,0,2
146,0,284,0,2
147,0,0,1,1
148,0,309,0,3
149,0,334,1,2
150,0,0,1,13
151,0,0,1,87
152,0,214,0,2
153,0,0,1,292
154,0,0,1,295
155,0,0,1,143
156,0,46,0,278
157,0,748,0,1
158,0,0,1,102
159,0,8,1,1
160,0,0,1,251
161,0,329,0,4
162,0,9,0,2
163,0,46,0,222
164,0,1766,0,2
165,0,0,1,260
166,9015,1,1,2
167,7,8,0,1
168,0,266,0,1
169,0,245,0,3
170,0,295,0,11
171,0,0,1,44
172,0,228,0,2
173,0,1032,1,511
174,0,0,1,272
175,0,0,1,122
176,0,0,1,287
177,0,0,0,1
178,0,0,1,486
179,0,1,1,22
180,0,0,1,286
181,0,30,0,1
182,1,2078,0,1
183,0,19,0,1
184,0,661,0,1
185,0,28,1,35
186,0,0,1,28
187,0,0,1,108
188,0,0,1,101
189,0,1075,0,1
190,0,223,0,12
191,15159,350,1,1
192,0,233,0,10
193,0,0,1,223
194,0,0,1,223
195,0,201,0,19
196,0,271,0,4
197,0,14416,0,1
198,0,227,0,5
199,0,0,1,406
200,0,225,0,4
201,0,176,0,6
202,0,0,1,143
203,0,227,0,17
204,0,855,0,1
205,0,944,0,1
206,0,954,0,2
207,0,0,1,201
208,0,166,0,1
209,0,306,0,4
210,0,0,1,124
211,0,0,1,162
212,0,1480,1,2
213,0,0,1,277
214,0,313,0,4
215,0,0,1,274
216,0,0,1,141
217,0,285,0,3
218,0,226,0,8
219,0,256,0,1
220,1,3740,0,1
221,0,224,0,10
222,0,0,1,103
223,4,832,1,1
224,0,0,1,246
225,0,8,1,1
226,0,201,0,7
227,0,285,0,32
228,0,0,1,125
229,0,7422,0,8
230,0,198,0,2
231,20,2310,0,1
232,0,331,0,6
233,0,65,0,9
234,0,28,1,4
235,0,45,0,171
236,0,0,1,250
237,0,0,1,238
238,0,0,1,102
239,0,9,0,1
240,0,283,0,2
241,0,221,0,2
242,0,18,1,1
243,0,0,1,281
244,0,0,1,30
245,0,0,1,276
246,0,302,0,5
247,0,0,1,163
248,0,8,1,1
249,0,0,1,301
250,0,355,0,28
251,0,8,1,1
252,18,106,0,1
253,0,286,0,16
254,9235,1,1,2
255,0,0,1,1
256,0,1032,1,46
257,0,168,0,1
258,0,238,0,39
259,0,0,1,1
260,0,291,0,6
261,0,0,1,211
262,0,749,0,1
263,0,198,0,12
264,0,0,1,280
265,0,167,0,1
266,0,241,0,17
267,0,337,0,6
268,0,729,0,1
269,0,8,1,1
270,0,0,1,201
271,0,222,0,3
272,0,0,1,276
273,0,0,0,1
274,0,46,0,145
275,0,246,0,1
276,0,222,0,8
277,0,0,1,258
278,0,0,1,256
279,409,279,0,1
280,0,226,0,12
281,0,299,0,26
282,0,0,1,14
283,0,12,0,2
284,0,281,0,30
285,0,0,1,138
286,0,42,0,4
287,0,0,1,300
288,0,0,1,199
289,0,263,0,15
290,36613,1,1,2
291,0,0,0,1
292,0,0,1,144
293,0,0,1,104
294,0,283,0,18
295,0,161,0,2
296,0,211,0,7
297,0,201,0,7
298,0,8,1,1
299,0,147,0,3
300,0,0,1,74
301,0,567,0,1
302,0,0,1,225
303,0,0,1,66
304,5043,5131424,1,1
305,0,320,0,7
306,0,8,1,1
307,0,0,0,2
308,0,204,0,4
309,0,0,1,1
310,0,10389,0,1
311,0,0,1,139
312,0,344,0,28
313,0,0,1,144
314,0,0,1,241
315,0,243,0,15
316,0,1032,1,213
317,0,8,1,1
318,0,0,1,36
319,0,105,0,3
320,0,0,1,254
321,1,1080,0,1
322,0,0,1,295
323,0,0,1,171
324,0,0,1,179
325,0,657,0,2
326,0,0,1,101
327,0,284,0,9
328,0,261,0,22
329,0,317,0,1
330,0,33,0,8
331,0,0,1,2
332,0,0,1,1
333,0,44,0,195
334,0,215,0,4
335,0,0,1,260
336,0,332,0,14
337,1,978,0,1
338,0,296,0,10
339,0,0,1,125
340,0,0,1,139
341,0,214,0,10
342,0,0,1,251
343,0,48,0,1
344,0,226,0,5
345,0,0,1,211
346,0,78,0,20
347,0,0,1,208
348,0,0,0,1
349,0,0,1,268
350,0,0,1,1
351,0,0,1,2
352,0,294,0,1
353,0,0,1,286
354,0,220,0,7
355,0,0,1,425
356,0,196,0,8
357,0,0,1,272
