,0
0,"spam ../data/inmail.1
"
1,"ham ../data/inmail.2
"
2,"spam ../data/inmail.3
"
3,"spam ../data/inmail.4
"
4,"spam ../data/inmail.5
"
5,"spam ../data/inmail.6
"
6,"spam ../data/inmail.7
"
7,"spam ../data/inmail.8
"
8,"spam ../data/inmail.9
"
9,"ham ../data/inmail.10
"
10,"spam ../data/inmail.11
"
11,"spam ../data/inmail.12
"
12,"spam ../data/inmail.13
"
13,"spam ../data/inmail.14
"
14,"spam ../data/inmail.15
"
15,"spam ../data/inmail.16
"
16,"spam ../data/inmail.17
"
17,"spam ../data/inmail.18
"
18,"spam ../data/inmail.19
"
19,"ham ../data/inmail.20
"
20,"ham ../data/inmail.21
"
21,"spam ../data/inmail.22
"
22,"spam ../data/inmail.23
"
23,"spam ../data/inmail.24
"
24,"spam ../data/inmail.25
"
25,"spam ../data/inmail.26
"
26,"spam ../data/inmail.27
"
27,"spam ../data/inmail.28
"
28,"ham ../data/inmail.29
"
29,"spam ../data/inmail.30
"
30,"ham ../data/inmail.31
"
31,"spam ../data/inmail.32
"
32,"spam ../data/inmail.33
"
33,"ham ../data/inmail.34
"
34,"spam ../data/inmail.35
"
35,"spam ../data/inmail.36
"
36,"spam ../data/inmail.37
"
37,"spam ../data/inmail.38
"
38,"spam ../data/inmail.39
"
39,"spam ../data/inmail.40
"
40,"spam ../data/inmail.41
"
41,"spam ../data/inmail.42
"
42,"spam ../data/inmail.43
"
43,"spam ../data/inmail.44
"
44,"spam ../data/inmail.45
"
45,"spam ../data/inmail.46
"
46,"spam ../data/inmail.47
"
47,"spam ../data/inmail.48
"
48,"ham ../data/inmail.49
"
49,"ham ../data/inmail.50
"
50,"spam ../data/inmail.51
"
51,"spam ../data/inmail.52
"
52,"spam ../data/inmail.53
"
53,"spam ../data/inmail.54
"
54,"spam ../data/inmail.55
"
55,"spam ../data/inmail.56
"
56,"ham ../data/inmail.57
"
57,"spam ../data/inmail.58
"
58,"ham ../data/inmail.59
"
59,"spam ../data/inmail.60
"
60,"spam ../data/inmail.61
"
61,"ham ../data/inmail.62
"
62,"spam ../data/inmail.63
"
63,"spam ../data/inmail.64
"
64,"spam ../data/inmail.65
"
65,"ham ../data/inmail.66
"
66,"ham ../data/inmail.67
"
67,"spam ../data/inmail.68
"
68,"spam ../data/inmail.69
"
69,"spam ../data/inmail.70
"
70,"ham ../data/inmail.71
"
71,"ham ../data/inmail.72
"
72,"ham ../data/inmail.73
"
73,"spam ../data/inmail.74
"
74,"ham ../data/inmail.75
"
75,"spam ../data/inmail.76
"
76,"ham ../data/inmail.77
"
77,"spam ../data/inmail.78
"
78,"spam ../data/inmail.79
"
79,"spam ../data/inmail.80
"
80,"ham ../data/inmail.81
"
81,"spam ../data/inmail.82
"
82,"spam ../data/inmail.83
"
83,"ham ../data/inmail.84
"
84,"spam ../data/inmail.85
"
85,"ham ../data/inmail.86
"
86,"spam ../data/inmail.87
"
87,"spam ../data/inmail.88
"
88,"ham ../data/inmail.89
"
89,"spam ../data/inmail.90
"
90,"spam ../data/inmail.91
"
91,"spam ../data/inmail.92
"
92,"spam ../data/inmail.93
"
93,"spam ../data/inmail.94
"
94,"spam ../data/inmail.95
"
95,"spam ../data/inmail.96
"
96,"spam ../data/inmail.97
"
97,"spam ../data/inmail.98
"
98,"spam ../data/inmail.99
"
99,"spam ../data/inmail.100
"
100,"spam ../data/inmail.101
"
101,"spam ../data/inmail.102
"
102,"spam ../data/inmail.103
"
103,"spam ../data/inmail.104
"
104,"spam ../data/inmail.105
"
105,"spam ../data/inmail.106
"
106,"spam ../data/inmail.107
"
107,"spam ../data/inmail.108
"
108,"spam ../data/inmail.109
"
109,"spam ../data/inmail.110
"
110,"ham ../data/inmail.111
"
111,"spam ../data/inmail.112
"
112,"spam ../data/inmail.113
"
113,"spam ../data/inmail.114
"
114,"spam ../data/inmail.115
"
115,"spam ../data/inmail.116
"
116,"ham ../data/inmail.117
"
117,"spam ../data/inmail.118
"
118,"spam ../data/inmail.119
"
119,"spam ../data/inmail.120
"
120,"spam ../data/inmail.121
"
121,"spam ../data/inmail.122
"
122,"spam ../data/inmail.123
"
123,"ham ../data/inmail.124
"
124,"spam ../data/inmail.125
"
125,"spam ../data/inmail.126
"
126,"ham ../data/inmail.127
"
127,"spam ../data/inmail.128
"
128,"spam ../data/inmail.129
"
129,"ham ../data/inmail.130
"
130,"spam ../data/inmail.131
"
131,"spam ../data/inmail.132
"
132,"spam ../data/inmail.133
"
133,"spam ../data/inmail.134
"
134,"spam ../data/inmail.135
"
135,"spam ../data/inmail.136
"
136,"spam ../data/inmail.137
"
137,"spam ../data/inmail.138
"
138,"spam ../data/inmail.139
"
139,"spam ../data/inmail.140
"
140,"spam ../data/inmail.141
"
141,"spam ../data/inmail.142
"
142,"spam ../data/inmail.143
"
143,"spam ../data/inmail.144
"
144,"spam ../data/inmail.145
"
145,"spam ../data/inmail.146
"
146,"spam ../data/inmail.147
"
147,"spam ../data/inmail.148
"
148,"spam ../data/inmail.149
"
149,"spam ../data/inmail.150
"
150,"spam ../data/inmail.151
"
151,"ham ../data/inmail.152
"
152,"spam ../data/inmail.153
"
153,"spam ../data/inmail.154
"
154,"spam ../data/inmail.155
"
155,"spam ../data/inmail.156
"
156,"spam ../data/inmail.157
"
157,"spam ../data/inmail.158
"
158,"spam ../data/inmail.159
"
159,"spam ../data/inmail.160
"
160,"spam ../data/inmail.161
"
161,"spam ../data/inmail.162
"
162,"spam ../data/inmail.163
"
163,"ham ../data/inmail.164
"
164,"ham ../data/inmail.165
"
165,"spam ../data/inmail.166
"
166,"spam ../data/inmail.167
"
167,"ham ../data/inmail.168
"
168,"spam ../data/inmail.169
"
169,"spam ../data/inmail.170
"
170,"ham ../data/inmail.171
"
171,"spam ../data/inmail.172
"
172,"spam ../data/inmail.173
"
173,"spam ../data/inmail.174
"
174,"spam ../data/inmail.175
"
175,"spam ../data/inmail.176
"
176,"spam ../data/inmail.177
"
